Data,Histórico,Valor,Saldo Atual
16/04/2024,DEBITO AUTOMATICO - SEGURO DE VIDA,-394.13,-1520.9900000000007
19/04/2024,PAGAMENTO DE CLIENTE,1924.76,403.7699999999993
22/04/2024,PAGAMENTO ALUGUEL,-557.24,-153.4700000000007
23/04/2024,POSTO IPIRANGA - COMBUSTIVEL,-270.03,-423.5000000000007
24/04/2024,ASSINATURA NETFLIX,-332.42,-755.9200000000008
27/04/2024,POSTO IPIRANGA - COMBUSTIVEL,-478.14,-1234.0600000000009
30/04/2024,LOJA DE ROUPAS RENNER,-760.99,-1995.0500000000009
02/05/2024,VENDA PRODUTO ONLINE,2210.3,215.24999999999932
03/05/2024,ASSINATURA NETFLIX,-708.55,-493.30000000000064
04/05/2024,PADARIA PÃO QUENTE,-384.36,-877.6600000000007
05/05/2024,RESTAURANTE BOM SABOR,-519.25,-1396.9100000000008
07/05/2024,PAGAMENTO DE CLIENTE,1691.01,294.0999999999992
09/05/2024,PADARIA PÃO QUENTE,-370.12,-76.02000000000078
12/05/2024,RESTITUICAO IMPOSTO DE RENDA,1086.29,1010.2699999999992
14/05/2024,CONSULTA MEDICA - DR. CARLOS,-67.71,942.5599999999991
16/05/2024,TRANSFERENCIA RECEBIDA - JOAO SILVA,149.5,1092.059999999999
18/05/2024,CONSULTORIA FREELANCE,227.88,1319.9399999999991
20/05/2024,ACADEMIA SMART FIT,-118.4,1201.539999999999
22/05/2024,PAGAMENTO CONTA DE LUZ - ENEL,-445.51,756.0299999999991
23/05/2024,CINEMA CINEMARK,-229.09,526.939999999999
25/05/2024,DEBITO AUTOMATICO - SEGURO DE VIDA,-365.75,161.18999999999903
26/05/2024,UBER VIAGEM,-193.79,-32.60000000000096
28/05/2024,RESTAURANTE BOM SABOR,-690.76,-723.3600000000009
31/05/2024,CONSULTA MEDICA - DR. CARLOS,-795.74,-1519.1000000000008
02/06/2024,ASSINATURA NETFLIX,-741.09,-2260.190000000001
03/06/2024,DEBITO AUTOMATICO - SEGURO DE VIDA,-560.57,-2820.760000000001
04/06/2024,POSTO IPIRANGA - COMBUSTIVEL,-165.75,-2986.510000000001
07/06/2024,PAGAMENTO CONTA DE LUZ - ENEL,-297.1,-3283.610000000001
10/06/2024,UBER VIAGEM,-98.65,-3382.260000000001
12/06/2024,UBER VIAGEM,-704.68,-4086.940000000001
13/06/2024,RESTAURANTE BOM SABOR,-404.1,-4491.040000000001
14/06/2024,SUPERMERCADO CARREFOUR,-524.8,-5015.840000000001
16/06/2024,CONSULTA MEDICA - DR. CARLOS,-683.53,-5699.370000000001
17/06/2024,UBER VIAGEM,-233.61,-5932.9800000000005
18/06/2024,PADARIA PÃO QUENTE,-480.84,-6413.820000000001
21/06/2024,UBER VIAGEM,-45.18,-6459.000000000001
22/06/2024,PAGAMENTO CONTA DE AGUA - SABESP,-128.81,-6587.810000000001
24/06/2024,APOSENTADORIA INSS,2264.01,-4323.800000000001
27/06/2024,PAGAMENTO CONTA DE LUZ - ENEL,-76.48,-4400.280000000001
29/06/2024,SUPERMERCADO CARREFOUR,-686.71,-5086.990000000001
01/07/2024,PAGAMENTO CONTA DE AGUA - SABESP,-98.19,-5185.18
04/07/2024,ASSINATURA NETFLIX,-228.59,-5413.77
07/07/2024,UBER VIAGEM,-350.55,-5764.320000000001
09/07/2024,SALARIO - EMPRESA XYZ,632.51,-5131.81
11/07/2024,IFOOD PEDIDO,-282.47,-5414.280000000001
14/07/2024,PAGAMENTO ALUGUEL,-97.42,-5511.700000000001
17/07/2024,CONSULTORIA FREELANCE,1810.49,-3701.210000000001
19/07/2024,CONSULTA MEDICA - DR. CARLOS,-518.28,-4219.490000000001
20/07/2024,RESTAURANTE BOM SABOR,-273.31,-4492.800000000001
22/07/2024,RESTAURANTE BOM SABOR,-84.34,-4577.140000000001
24/07/2024,ACADEMIA SMART FIT,-607.74,-5184.880000000001
27/07/2024,POSTO IPIRANGA - COMBUSTIVEL,-737.43,-5922.310000000001
28/07/2024,UBER VIAGEM,-29.37,-5951.680000000001
31/07/2024,ASSINATURA NETFLIX,-529.8,-6481.480000000001
02/08/2024,RESTAURANTE BOM SABOR,-284.4,-6765.880000000001
03/08/2024,PADARIA PÃO QUENTE,-783.88,-7549.760000000001
04/08/2024,FARMACIA DROGASIL,-785.54,-8335.300000000001
