Data,Descrição,Valor,Saldo
21/03/2024,PAGAMENTO CONTA DE LUZ - ENEL,-61.73,3302.4800000000014
22/03/2024,ASSINATURA NETFLIX,-595.07,2707.410000000001
23/03/2024,IFOOD PEDIDO,-707.63,1999.780000000001
25/03/2024,UBER VIAGEM,-286.32,1713.4600000000012
27/03/2024,SALARIO - EMPRESA XYZ,619.3,2332.760000000001
30/03/2024,COMPRA NO SHOPPING IGUATEMI,-90.3,2242.460000000001
31/03/2024,IFOOD PEDIDO,-493.55,1748.910000000001
01/04/2024,PAGAMENTO ALUGUEL,-99.54,1649.370000000001
03/04/2024,UBER VIAGEM,-650.34,999.030000000001
05/04/2024,APOSENTADORIA INSS,1861.35,2860.380000000001
06/04/2024,PAGAMENTO CONTA DE AGUA - SABESP,-582.79,2277.590000000001
08/04/2024,PAGAMENTO CONTA DE LUZ - ENEL,-114.74,2162.8500000000013
10/04/2024,PAGAMENTO CONTA DE AGUA - SABESP,-55.99,2106.8600000000015
13/04/2024,RESTITUICAO IMPOSTO DE RENDA,524.76,2631.6200000000017
16/04/2024,PAGAMENTO CONTA DE LUZ - ENEL,-450.45,2181.170000000002
17/04/2024,VENDA PRODUTO ONLINE,529.53,2710.7000000000016
20/04/2024,SUPERMERCADO CARREFOUR,-492.79,2217.9100000000017
21/04/2024,POSTO IPIRANGA - COMBUSTIVEL,-344.02,1873.8900000000017
24/04/2024,CONSULTORIA FREELANCE,775.48,2649.3700000000017
25/04/2024,FARMACIA DROGASIL,-327.58,2321.790000000002
26/04/2024,PAGAMENTO CONTA DE AGUA - SABESP,-134.98,2186.8100000000018
29/04/2024,SALARIO - EMPRESA XYZ,136.63,2323.440000000002
30/04/2024,POSTO IPIRANGA - COMBUSTIVEL,-434.82,1888.620000000002
03/05/2024,RESTITUICAO IMPOSTO DE RENDA,1493.97,3382.590000000002
05/05/2024,SALARIO - EMPRESA XYZ,1942.12,5324.710000000002
08/05/2024,ASSINATURA NETFLIX,-470.97,4853.740000000002
09/05/2024,FARMACIA DROGASIL,-347.13,4506.6100000000015
10/05/2024,DEBITO AUTOMATICO - SEGURO DE VIDA,-628.82,3877.7900000000013
12/05/2024,PAGAMENTO DE CLIENTE,669.86,4547.6500000000015
15/05/2024,PAGAMENTO ALUGUEL,-617.14,3930.5100000000016
17/05/2024,ASSINATURA NETFLIX,-310.82,3619.6900000000014
19/05/2024,PAGAMENTO CONTA DE AGUA - SABESP,-469.72,3149.970000000001
21/05/2024,RECEBIMENTO DE ALUGUEL,2097.92,5247.890000000001
22/05/2024,ASSINATURA NETFLIX,-451.84,4796.050000000001
24/05/2024,SUPERMERCADO CARREFOUR,-383.32,4412.730000000001
25/05/2024,PAGAMENTO CONTA DE LUZ - ENEL,-146.87,4265.8600000000015
28/05/2024,UBER VIAGEM,-473.0,3792.8600000000015
30/05/2024,POSTO IPIRANGA - COMBUSTIVEL,-433.99,3358.8700000000017
01/06/2024,CONSULTA MEDICA - DR. CARLOS,-603.02,2755.8500000000017
03/06/2024,PADARIA PÃO QUENTE,-544.51,2211.340000000002
06/06/2024,SUPERMERCADO CARREFOUR,-410.29,1801.050000000002
07/06/2024,IFOOD PEDIDO,-439.56,1361.490000000002
08/06/2024,FARMACIA DROGASIL,-234.14,1127.3500000000022
09/06/2024,TRANSFERENCIA RECEBIDA - JOAO SILVA,1001.19,2128.5400000000022
12/06/2024,SALARIO - EMPRESA XYZ,397.25,2525.7900000000022
14/06/2024,POSTO IPIRANGA - COMBUSTIVEL,-244.09,2281.700000000002
16/06/2024,RECEBIMENTO DE ALUGUEL,1035.4,3317.100000000002
18/06/2024,ACADEMIA SMART FIT,-223.82,3093.280000000002
20/06/2024,PAGAMENTO CONTA DE AGUA - SABESP,-210.13,2883.150000000002
22/06/2024,ACADEMIA SMART FIT,-387.59,2495.5600000000018
23/06/2024,CONSULTORIA FREELANCE,1180.26,3675.8200000000015
26/06/2024,IFOOD PEDIDO,-324.99,3350.8300000000017
27/06/2024,POSTO IPIRANGA - COMBUSTIVEL,-264.15,3086.6800000000017
30/06/2024,PAGAMENTO ALUGUEL,-371.09,2715.5900000000015
02/07/2024,PADARIA PÃO QUENTE,-129.73,2585.8600000000015
03/07/2024,LOJA DE ROUPAS RENNER,-525.0,2060.8600000000015
05/07/2024,IFOOD PEDIDO,-531.26,1529.6000000000015
